frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,head_position_ratio,shoulder_elbow_angle,wrist_shoulder_hip_angle
0,156.29425201477736,-0.03126257658004761,-0.041859209537506104,0.07193315029144287,104.08071696791578,115.0057103521545
1,156.22020791669846,-0.029448270797729492,-0.043896615505218506,0.07268869876861572,103.5650195201901,114.67815382859914
2,156.81417299592857,-0.028294086456298828,-0.043858230113983154,0.07362592220306396,103.13276243286487,114.31364300703402
3,157.69192586070625,-0.02520376443862915,-0.04345589876174927,0.07643479108810425,102.43534220673422,113.49607561756471
4,158.32543605444647,-0.021814703941345215,-0.0445135235786438,0.08087968826293945,101.05058969763013,111.67232270442085
5,159.14632730011536,-0.019623160362243652,-0.044673919677734375,0.0829627513885498,100.13818902352597,110.58001130929955
6,159.34814240725083,-0.01934152841567993,-0.0443459153175354,0.08309733867645264,100.06602892231604,110.51659938996852
7,158.68704362311763,-0.01917290687561035,-0.04639023542404175,0.08536428213119507,99.9462004737614,110.21974650315184
8,158.04222371883384,-0.02030766010284424,-0.04718971252441406,0.08529257774353027,100.58123838431175,110.58414878957495
9,157.76855023970006,-0.020551562309265137,-0.047160327434539795,0.08559221029281616,101.05948841184085,110.81914474510688
10,159.0301948215301,-0.018661320209503174,-0.04453533887863159,0.0850335955619812,100.56755805948245,110.38326163329168
11,160.0001657256211,-0.01683366298675537,-0.04299330711364746,0.08491182327270508,100.06231879580474,109.9305184625766
12,160.56538535339683,-0.015394210815429688,-0.04258090257644653,0.08462250232696533,99.4394236951012,109.42048829621265
13,160.80115967630994,-0.014423966407775879,-0.04256397485733032,0.08480113744735718,99.02291004043599,109.02291599319469
14,160.14029799886765,-0.013530611991882324,-0.045068323612213135,0.08495950698852539,98.83941345051852,108.78059723059508
15,161.0493426739701,-0.012376368045806885,-0.04325968027114868,0.0849573016166687,98.59543336040997,108.49850647279172
16,161.31655094894495,-0.012350797653198242,-0.041807591915130615,0.08390247821807861,98.68777114357687,108.57508177516914
17,162.07942294563065,-0.011934101581573486,-0.03999131917953491,0.08268654346466064,98.35887022699035,108.46533897226135
18,162.56741444263204,-0.012370765209197998,-0.03791755437850952,0.08166742324829102,98.23254761669142,108.55840384167422
19,163.71970880807265,-0.012734830379486084,-0.03402179479598999,0.08129948377609253,98.09231587501966,108.62953577264048
20,163.65394867317403,-0.012631714344024658,-0.03282427787780762,0.08126789331436157,97.8925721037711,108.49857801625717
21,163.52886167084,-0.012562572956085205,-0.03275841474533081,0.08127975463867188,97.7638719953377,108.46598461998542
22,163.4531897702668,-0.012554645538330078,-0.03287768363952637,0.08129251003265381,97.75399030153329,108.5230144378942
23,163.83905651817764,-0.012626111507415771,-0.030604064464569092,0.08125138282775879,97.7834302326367,108.56311964544813
24,164.18615155055818,-0.01271146535873413,-0.029116153717041016,0.08121222257614136,97.74326893306619,108.56791084454494
25,163.9998801673006,-0.012719690799713135,-0.02950155735015869,0.08120584487915039,97.72671954978802,108.54934593805143
26,170.74796506634098,-0.012739777565002441,-0.01256871223449707,0.08121144771575928,97.67508507572586,108.46175959523282
27,169.9479900040691,-0.012754082679748535,-0.014567911624908447,0.08123493194580078,97.59677502243034,108.34219106394991
28,169.4211884365905,-0.012956082820892334,-0.0170554518699646,0.08131933212280273,97.5507702116015,108.2915151775095
29,167.25606471950562,-0.013122200965881348,-0.023571252822875977,0.08162575960159302,97.56419413245288,108.29020891578045
30,165.49543992981611,-0.013098478317260742,-0.028850972652435303,0.08211082220077515,97.50382831377885,108.19032994103034
31,164.95518058120334,-0.0131683349609375,-0.030619502067565918,0.08272916078567505,97.45691877533648,108.0361298567876
32,164.50341853040672,-0.013497889041900635,-0.03170061111450195,0.08344179391860962,97.49785643530277,107.97293055161055
33,163.9066688695632,-0.014165043830871582,-0.03294557332992554,0.08398711681365967,97.64388880524865,108.05919689381798
34,163.4451375307365,-0.014810025691986084,-0.03388410806655884,0.08439123630523682,97.73137476514961,108.15596587271529
